timestamp,open,high,low,close,volume
2018-11-02,2.2000,2.2000,2.1900,2.2000,19200
2018-11-01,2.1900,2.2100,2.1900,2.1900,28400
2018-10-31,2.1900,2.2000,2.1900,2.2000,67500
